lat,lon,rssi_1_1,rssi_1_2,rssi_1_3,rssi_2_1,rssi_2_2,rssi_2_3,rssi_3_1,rssi_3_2,rssi_3_3,delay_1,delay_2,delay_3,pontoId
-8.04723,-34.95395,-77.77,-94.09,-80.14,-91.4053333333333,-96.73,-91.645,-80.3111111111111,-102.82799999999999,-95.695,2,5,4,9486
-8.05594,-34.950790000000005,-91.04,-91.71857142857141,-92.2171428571429,-85.47,-77.6675,-81.41857142857141,-92.0233333333333,-94.206,-96.3725,6,3,3,6912
-8.05052,-34.95385,-86.84857142857142,-95.78642857142859,-89.52,-96.15,-97.4925,-96.7657142857143,-97.45,-98.04799999999999,-98.525,3,4,3,8680
-8.05223,-34.94782,-88.48142857142858,-85.17,-89.53625,-59.98,-79.39,-78.67,-89.28,-90.96,-97.6,5,2,5,8001
-8.05161,-34.9463,-90.7028571428571,-93.1957142857143,-94.20571428571431,-53.83,-78.805,-83.96,-90.225,-92.3,-97.6,5,1,6,8363
-8.04777,-34.95067,-80.8514285714286,-75.7,-80.7,-87.71,-92.5125,-90.54142857142858,-86.005,-98.098,-94.4075,2,4,5,9412
-8.04862,-34.95084,-90.45,-87.53142857142859,-77.75,-75.13,-90.8225,-87.9076190476191,-91.375,-98.012,-96.7925,3,4,5,9139
-8.05471,-34.95609,-90.1742857142857,-98.7371428571429,-88.4,-100.909166666667,-99.975,-96.1,-81.13,-87.05799999999999,-90.22,6,5,1,7431
-8.04878,-34.9472,-99.72,-84.85857142857141,-97.78142857142859,-86.76,-96.4925,-94.37017857142858,-95.62,-98.844,-96.3575,3,2,6,9093
-8.055530000000001,-34.95491,-94.58857142857141,-97.10285714285709,-91.28,-96.2133333333334,-92.275,-90.69714285714291,-77.9516666666667,-66.836,-94.7525,6,5,1,7108
-8.05622,-34.950720000000004,-91.21857142857141,-92.1571428571429,-91.9266666666666,-90.59,-87.1,-73.77,-92.96,-88.22200000000001,-96.3725,6,3,3,6856
-8.05562,-34.95378,-92.32857142857141,-96.1742857142857,-91.59714285714291,-98.625,-90.53,-90.78,-74.69,-77.13,-92.8625,6,4,2,7032
-8.04928,-34.95598,-77.83,-95.2228571428571,-77.1557142857143,-98.6366666666667,-98.16,-93.84,-84.49,-102.22866666666701,-97.35,3,6,3,8979
-8.0557,-34.95898,-85.98142857142858,-100.28857142857099,-84.57285714285709,-94.765,-100.225,-83.7171428571429,-87.24,-85.38,-64.6,7,7,1,6974
-8.05286,-34.95561,-86.64,-96.37285714285721,-89.01,-99.8283333333333,-96.1425,-94.3771428571429,-60.47,-88.46600000000001,-83.08,5,5,2,7822
-8.04643,-34.94944,-92.71285714285709,-97.79,-93.34,-93.84,-96.225,-95.8042857142857,-90.9733333333333,-101.42399999999999,-94.4075,2,4,6,9657
-8.05127,-34.95061,-88.59142857142858,-93.22714285714291,-89.6271428571429,-87.83,-92.63,-90.4957142857143,-92.7283333333334,-95.286,-95.9225,4,3,4,8489
-8.05482,-34.95365,-91.16,-96.35,-87.89,-96.31,-90.27,-90.51857142857142,-91.71,-86.71,-99.13,5,4,2,7415
-8.05522,-34.95198,-96.54,-93.4242857142857,-92.11714285714291,-92.03,-87.1025,-87.07857142857141,-93.83166666666669,-75.01,-96.7,6,4,3,7316
-8.047,-34.94755,-87.95,-83.72571428571429,-93.075,-93.9166666666667,-101.66,-97.595,-98.94,-101.806,-94.4075,3,3,6,9530
-8.04856,-34.95856,-97.1,-92.3842857142857,-85.6071428571429,-96.4233333333333,-93.985,-95.1042857142857,-83.1183333333333,-106.544,-91.08,4,7,3,9168
-8.05284,-34.95378,-97.74,-96.68857142857142,-89.4703571428571,-102.09,-98.6375,-95.95285714285721,-98.4983333333333,-99.51799999999999,-97.765,5,4,2,7842
-8.05839,-34.95003,-97.25,-93.28142857142859,-93.5628571428571,-97.5,-76.55,-83.0957142857143,-94.0333333333333,-82.304,-96.2325,7,4,4,6705
-8.05875,-34.946290000000005,-88.73142857142858,-81.92,-89.92857142857142,-89.395,-69.8275,-77.23,-91.2383333333333,-90.5772727272727,-95.8575,8,3,6,6666
-8.05372,-34.94913,-89.04857142857142,-89.4,-88.55,-78.17,-73.67,-76.9071428571429,-90.5733333333333,-83.49799999999999,-96.72,5,2,4,7667
-8.04712,-34.94755,-97.1007142857143,-78.13,-96.71,-90.2,-101.895,-98.22,-101.085,-101.806,-94.4075,3,3,6,9505
-8.05441,-34.95944,-81.7657142857143,-99.49142857142859,-83.6242857142857,-95.72,-100.225,-88.23285714285721,-74.04333333333331,-88.24,-61.08,6,7,1,7519
-8.04643,-34.95026,-95.09,-75.64,-80.9947619047619,-91.03,-94.1525,-97.98,-90.5533333333333,-98.898,-94.4075,2,4,6,9651
-8.048160000000001,-34.95909,-79.3131428571429,-90.59714285714291,-77.075,-96.4233333333333,-97.1,-95.7967857142857,-81.62,-106.544,-89.33,4,7,3,9327
-8.055,-34.95926,-80.91571428571429,-100.28857142857099,-78.9014285714286,-95.72,-100.225,-77.53,-81.2233333333333,-89.368,-67.54,6,7,1,7393
-8.04781,-34.95068,-82.7014285714286,-85.07,-87.3571428571429,-88.27,-92.5125,-90.54142857142858,-86.005,-98.098,-94.4075,2,4,5,9406
-8.05551,-34.95561,-94.4742857142857,-98.56857142857142,-93.5757142857143,-97.0833333333333,-89.4,-89.33,-80.87,-79.56,-88.935,6,5,1,7125
-8.056519999999999,-34.95617,-91.1428571428571,-99.0457142857143,-92.73,-100.866666666667,-90.205,-93.87857142857142,-85.83,-64.88,-87.1,6,6,1,6794
-8.04833,-34.95071,-83.43285714285709,-73.26,-90.33,-86.27,-90.4,-85.93857142857142,-88.3916666666667,-98.012,-96.7925,2,4,5,9282
-8.046439999999999,-34.94664,-95.27928571428569,-87.81857142857142,-94.1016666666667,-95.9816666666666,-103.015,-96.79,-90.0783333333333,-85.00399999999999,-94.6125,3,3,7,9638
-8.048810000000001,-34.95041,-87.8542857142857,-85.85857142857141,-96.78,-84.57,-95.59,-83.28714285714291,-92.815,-97.49600000000001,-96.7925,3,3,5,9086
